,head_eo_model_id,Самосвалы CAT 785C,eo_code,counter_current,motohour_coef
114,65,Самосвалы CAT 785C,100000065606,90103.744,1.0883150815582467
115,65,Самосвалы CAT 785C,100000065606,90092.274,1.0885198038121076
116,65,Самосвалы CAT 785C,100000065606,90082.854,1.087776684043004
117,65,Самосвалы CAT 785C,100000065606,90072.374,1.087520150542887
118,65,Самосвалы CAT 785C,100000065606,90060.374,1.087971427429688
119,65,Самосвалы CAT 785C,100000065606,90049.504,1.0878964184464075
120,65,Самосвалы CAT 785C,100000065606,90037.504,1.0883541334240598
121,65,Самосвалы CAT 785C,100000065606,90025.504,1.0888166403986757
122,65,Самосвалы CAT 785C,100000065606,90013.504,1.089284015020193
123,65,Самосвалы CAT 785C,100000065606,90002.214,1.0894153515017124
124,65,Самосвалы CAT 785C,100000065606,89990.214,1.0898907318084592
125,65,Самосвалы CAT 785C,100000065606,89978.724,1.090123560696237
126,65,Самосвалы CAT 785C,100000065606,89966.724,1.0906077451953498
127,65,Самосвалы CAT 785C,100000065606,89955.224,1.0908516518257148
128,65,Самосвалы CAT 785C,100000065606,89943.224,1.0913449378471827
129,65,Самосвалы CAT 785C,100000065606,89931.684,1.091615167446949
130,65,Самосвалы CAT 785C,100000065606,89919.684,1.0921179542270913
131,65,Самосвалы CAT 785C,100000065606,89909.124,1.0919032342118689
132,65,Самосвалы CAT 785C,100000065606,89897.124,1.0924128599729153
133,65,Самосвалы CAT 785C,100000065606,89885.124,1.0929281692477375
134,65,Самосвалы CAT 785C,100000065606,89873.124,1.093449257646088
135,65,Самосвалы CAT 785C,100000065606,89861.124,1.093976222934313
136,65,Самосвалы CAT 785C,100000065606,89849.124,1.0945091650965035
137,65,Самосвалы CAT 785C,100000065606,89837.124,1.0950481863977373
138,65,Самосвалы CAT 785C,100000065606,89825.744,1.095268792437483
139,65,Самосвалы CAT 785C,100000065606,89825.744,1.0895344008540409
