Документ измерений,Дата,Момент измерений,Показания счетчика,ЕдиницаИзмерПризнака,Единица оборудования
32911145,2022-05-18,19:30:00,"62416,405",МТЧ,100000065625
32911125,2022-05-18,19:30:00,"853161,281",км,100000065625
32911112,2022-05-18,19:30:00,"66497,338",МТЧ,100000065623
32911101,2022-05-18,19:30:00,"907435,186",км,100000065623
32911083,2022-05-18,19:30:00,"897450,705",км,100000065624
32910970,2022-05-18,19:30:00,"65076,210",МТЧ,100000065626
32911045,2022-05-18,19:30:00,"914521,265",км,100000065626
32911033,2022-05-18,19:30:00,"72026,379",МТЧ,100000065643
32911017,2022-05-18,19:30:00,"997487,663",км,100000065643
32910995,2022-05-18,19:30:00,"73805,462",МТЧ,100000065641
32910978,2022-05-18,19:30:00,"997975,542",км,100000065641
32910955,2022-05-18,19:30:00,"73100,338",МТЧ,100000065638
32910944,2022-05-18,19:30:00,"1008154,473",км,100000065638
32910932,2022-05-18,19:30:00,"75035,550",МТЧ,100000065639
32910921,2022-05-18,19:30:00,"1046834,457",км,100000065639
32910911,2022-05-18,19:30:00,"75166,864",МТЧ,100000065637
32910780,2022-05-18,19:30:00,"1051427,516",км,100000065637
32910887,2022-05-18,19:30:00,"73352,020",МТЧ,100000065640
32910709,2022-05-18,19:30:00,"1014611,612",км,100000065640
32910845,2022-05-18,19:30:00,"85184,464",МТЧ,100000065622
32910819,2022-05-18,19:30:00,"1130607,201",км,100000065622
32910785,2022-05-18,19:30:00,"87294,039",МТЧ,100000065620
32910765,2022-05-18,19:30:00,"1174217,866",км,100000065620
32910751,2022-05-18,19:30:00,"82769,288",МТЧ,100000065619
32910659,2022-05-18,19:30:00,"1083262,359",км,100000065619
32910729,2022-05-18,19:30:00,"86077,266",МТЧ,100000065618
32910714,2022-05-18,19:30:00,"1161249,453",км,100000065618
32910694,2022-05-18,19:30:00,"85757,457",МТЧ,100000065617
32910681,2022-05-18,19:30:00,"1138056,144",км,100000065617
32910667,2022-05-18,19:30:00,"89037,802",МТЧ,100000065616
32910530,2022-05-18,19:30:00,"1172732,271",км,100000065616
32910623,2022-05-18,19:30:00,"87588,965",МТЧ,100000065614
32910608,2022-05-18,19:30:00,"1137422,926",км,100000065614
32910595,2022-05-18,19:30:00,"88089,441",МТЧ,100000065613
32910581,2022-05-18,19:30:00,"1183266,461",км,100000065613
32910569,2022-05-18,19:30:00,"89826,858",МТЧ,100000065612
32910534,2022-05-18,19:30:00,"1195735,370",км,100000065612
32910517,2022-05-18,19:30:00,"88056,565",МТЧ,100000065611
32910498,2022-05-18,19:30:00,"1141892,836",км,100000065611
32910440,2022-05-18,19:30:00,"84968,365",МТЧ,100000065609
32910466,2022-05-18,19:30:00,"1177707,552",км,100000065609
32910370,2022-05-18,19:30:00,"86910,423",МТЧ,100000065608
32910349,2022-05-18,19:30:00,"1124371,422",км,100000065608
32910398,2022-05-18,19:30:00,"86635,036",МТЧ,100000065607
32910377,2022-05-18,19:30:00,"1140159,253",км,100000065607
32910335,2022-05-18,19:30:00,"91943,976",МТЧ,100000065606
32910312,2022-05-18,19:30:00,"1220768,509",км,100000065606
32910307,2022-05-18,19:30:00,"54394,147",МТЧ,100000062385
32910293,2022-05-18,19:30:00,"739612,154",км,100000062385
32910284,2022-05-18,19:30:00,"58120,688",МТЧ,100000062387
32910273,2022-05-18,19:30:00,"745239,778",км,100000062387
32910180,2022-05-18,19:30:00,"60934,277",МТЧ,100000062388
32910247,2022-05-18,19:30:00,"787459,431",км,100000062388
32910211,2022-05-18,19:30:00,"58084,930",МТЧ,100000062389
32910196,2022-05-18,19:30:00,"763320,502",км,100000062389
32910099,2022-05-18,19:30:00,"58046,314",МТЧ,100000062386
32910162,2022-05-18,19:30:00,"750442,459",км,100000062386
32910152,2022-05-18,19:30:00,"63839,024",МТЧ,100000062399
32910137,2022-05-18,19:30:00,"801166,435",км,100000062399
32910118,2022-05-18,19:30:00,"62080,132",МТЧ,100000062398
32910101,2022-05-18,19:30:00,"799019,103",км,100000062398
32910088,2022-05-18,19:30:00,"64755,131",МТЧ,100000062397
32910071,2022-05-18,19:30:00,"840924,934",км,100000062397
32910045,2022-05-18,19:30:00,"64467,848",МТЧ,100000062396
32910032,2022-05-18,19:30:00,"819439,821",км,100000062396
32909940,2022-05-18,19:30:00,"64398,405",МТЧ,100000062395
32909997,2022-05-18,19:30:00,"838374,783",км,100000062395
32909983,2022-05-18,19:30:00,"68355,911",МТЧ,100000062390
32909967,2022-05-18,19:30:00,"889999,003",км,100000062390
32909953,2022-05-18,19:30:00,"66588,337",МТЧ,100000062392
32909835,2022-05-18,19:30:00,"847379,057",км,100000062392
32909927,2022-05-18,19:30:00,"61897,990",МТЧ,100000062393
32909914,2022-05-18,19:30:00,"799750,823",км,100000062393
32909896,2022-05-18,19:30:00,"66663,719",МТЧ,100000062391
32909877,2022-05-18,19:30:00,"842384,079",км,100000062391
32909862,2022-05-18,19:30:00,"81863,680",МТЧ,100000062384
32909813,2022-05-18,19:30:00,"1007683,738",км,100000062384
32909796,2022-05-18,19:30:00,"83210,767",МТЧ,100000062383
32909783,2022-05-18,19:30:00,"1061245,710",км,100000062383
32909680,2022-05-18,19:30:00,"82624,562",МТЧ,100000062382
32909751,2022-05-18,19:30:00,"1086542,600",км,100000062382
32909738,2022-05-18,19:30:00,"83612,845",МТЧ,100000062381
32909719,2022-05-18,19:30:00,"1053369,449",км,100000062381
32909703,2022-05-18,19:30:00,"85721,467",МТЧ,100000065976
32909667,2022-05-18,19:30:00,"1110432,288",км,100000065976
32909653,2022-05-18,19:30:00,"81648,838",МТЧ,100000065975
32909579,2022-05-18,19:30:00,"1036107,713",км,100000065975
32909627,2022-05-18,19:30:00,"82563,142",МТЧ,100000062380
32909613,2022-05-18,19:30:00,"82413,313",МТЧ,100000065967
32909604,2022-05-18,19:30:00,"1060777,867",км,100000065967
32909589,2022-05-18,19:30:00,"84774,668",МТЧ,100000065974
32909566,2022-05-18,19:30:00,"1050574,705",км,100000065974
32909480,2022-05-18,19:30:00,"85367,504",МТЧ,100000065972
32909543,2022-05-18,19:30:00,"1098390,429",км,100000065972
32909528,2022-05-18,19:30:00,"85172,963",МТЧ,100000065971
32909512,2022-05-18,19:30:00,"1063611,292",км,100000065971
32909504,2022-05-18,19:30:00,"87309,127",МТЧ,100000065970
32909488,2022-05-18,19:30:00,"1133053,338",км,100000065970
32909451,2022-05-18,19:30:00,"82222,726",МТЧ,100000065969
32909441,2022-05-18,19:30:00,"1069187,642",км,100000065969
32909427,2022-05-18,19:30:00,"85016,661",МТЧ,100000065968
32909339,2022-05-18,19:30:00,"1106146,573",км,100000065968
32909403,2022-05-18,19:30:00,"97198,156",МТЧ,100000062376
32909393,2022-05-18,19:30:00,"1222632,223",км,100000062376
32909376,2022-05-18,19:30:00,"98684,972",МТЧ,100000062377
32909344,2022-05-18,19:30:00,"1245761,542",км,100000062377
32909326,2022-05-18,19:30:00,"97883,069",МТЧ,100000062379
32909308,2022-05-18,19:30:00,"1249134,982",км,100000062379
32909255,2022-05-18,19:30:00,"98965,906",МТЧ,100000062373
32909273,2022-05-18,19:30:00,"1248019,485",км,100000062373
32909229,2022-05-18,19:30:00,"1228364,907",км,100000062372
32909128,2022-05-18,19:30:00,"99835,451",МТЧ,100000062371
32909191,2022-05-18,19:30:00,"1243930,074",км,100000062371
32909175,2022-05-18,19:30:00,"103587,903",МТЧ,100000062370
32909163,2022-05-18,19:30:00,"1248598,683",км,100000062370
32909060,2022-05-18,19:30:00,"100073,651",МТЧ,100000062369
32909116,2022-05-18,19:30:00,"1251430,838",км,100000062369
32907404,2022-05-18,7:30:00,"99058,602",МТЧ,100000062372
32906579,2022-05-17,19:30:00,"59627,469",МТЧ,100000065631
32903606,2022-05-18,7:00:00,"33259,810",МТЧ,100000008674
32903544,2022-05-17,19:00:00,"33248,100",МТЧ,100000008674
32903420,2022-05-17,7:00:00,"33237,000",МТЧ,100000008674
32897409,2022-05-18,7:00:00,"33971,070",МТЧ,100000008673
32897476,2022-05-17,19:00:00,"33959,080",МТЧ,100000008673
32897456,2022-05-17,7:00:00,"33947,850",МТЧ,100000008673
32897436,2022-05-16,19:00:00,"33936,620",МТЧ,100000008673
32890629,2022-05-18,7:30:00,"44906,446",МТЧ,100000065981
32890615,2022-05-18,7:30:00,"561542,413",км,100000065981
32890559,2022-05-18,7:30:00,"45501,340",МТЧ,100000065980
32890530,2022-05-18,7:30:00,"563877,043",км,100000065980
32890550,2022-05-18,7:30:00,"44808,932",МТЧ,100000065979
32890535,2022-05-18,7:30:00,"558903,869",км,100000065979
32890516,2022-05-18,7:30:00,"44953,357",МТЧ,100000065978
32890491,2022-05-18,7:30:00,"551477,251",км,100000065978
32890450,2022-05-18,7:30:00,"43995,151",МТЧ,100000065977
32890453,2022-05-18,7:30:00,"550888,213",км,100000065977
32889916,2022-05-18,7:30:00,"63696,817",МТЧ,100000065635
32889895,2022-05-18,7:30:00,"834610,545",км,100000065635
32889799,2022-05-18,7:30:00,"60314,780",МТЧ,100000065636
32889864,2022-05-18,7:30:00,"829685,050",км,100000065636
32889847,2022-05-18,7:30:00,"62309,993",МТЧ,100000065634
32889827,2022-05-18,7:30:00,"845094,582",км,100000065634
32889806,2022-05-18,7:30:00,"60441,503",МТЧ,100000065633
32889787,2022-05-18,7:30:00,"837394,937",км,100000065633
32889771,2022-05-18,7:30:00,"59638,405",МТЧ,100000065631
32889680,2022-05-18,7:30:00,"816943,804",км,100000065631
32889752,2022-05-18,7:30:00,"63236,541",МТЧ,100000065629
